# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Observed Drift, Last packet Received
2014-12-09 15:05:43.828078, init, 
2014-12-09 15:05:43.896350, lstn_init,  1 
2014-12-09 15:05:55.175584, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0.000000000, I
2014-12-09 15:05:56.175484, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000000000, -0.000117000,  0.000000000, -0.000234000, 0.000000000, S
2014-12-09 15:05:57.142751, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000055500, -0.000117000,  0.000456000, -0.000234000, 0.000000000, D
2014-12-09 15:05:57.175513, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000055500, -0.000056750,  0.000456000,  0.000176000, 0.000000000, S
2014-12-09 15:05:57.329574, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000112000, -0.000056750,  0.000276000,  0.000176000, 0.000000000, D
2014-12-09 15:05:58.142822, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000156417, -0.000056750,  0.000353000,  0.000176000, 0.000000000, D
2014-12-09 15:05:58.175543, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000156417,  0.000082041,  0.000353000,  0.000200000, 0.000000000, S
2014-12-09 15:05:59.175367, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000156417, -0.000032917,  0.000353000,  0.000047000, 0.000000000, S
2014-12-09 15:05:59.705386, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000182250, -0.000032917,  0.000463000,  0.000047000, 0.000000000, D
2014-12-09 15:06:00.175426, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000182250, -0.000080833,  0.000463000,  0.000130000, 0.000000000, S
2014-12-09 15:06:00.267619, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000199500, -0.000080833,  0.000434000,  0.000130000, 0.000000000, D
2014-12-09 15:06:01.174392, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000199500, -0.000048875,  0.000434000,  0.000154000, 0.000000000, S
2014-12-09 15:06:01.329638, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000216125, -0.000048875,  0.000479000,  0.000154000, 0.000000000, D
2014-12-09 15:06:02.174612, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000216125, -0.000062312,  0.000479000,  0.000137000, 0.000000000, S
2014-12-09 15:06:02.392872, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000226214, -0.000062312,  0.000377000,  0.000137000, 0.000000000, D
2014-12-09 15:06:03.142790, slv, 0c4de9fffeae4e2b(unknown)/01,  0.000232000, -0.000062312,  0.000439000,  0.000137000, 0.000000000, D
